id,name,rawBodyPart,rawEquipment,rawTarget,rawMuscleMetadata,rawSecondaryMuscles,currentCategory,currentPrimaryMuscle,currentSecondaryMuscles,currentLoadMechanism,currentLoadMode,currentBodyweightFactor,currentPlateBaseKind,inferredMovementFamily,inferredComplexity,inferredMachineResistanceClass,highestSeverity,flags,v2TargetKind,v2TargetResolved,v2TargetRegion,v2SecondaryResolved
ex-0001,3/4 sit-up,waist,body weight,abs,hip flexors,hip flexors; lower back,bodyweight,core,,bodyweight,added_weight,,none,core,unknown,none_expected,medium,CANONICAL_MUSCLE_COLLAPSE; RAW_MG_DIFFERS_FROM_TARGET,anatomical,rectus_abdominis,core,hip_flexors; lower_back
ex-0002,45° side bend,waist,body weight,abs,obliques,obliques,bodyweight,core,,bodyweight,added_weight,,none,core,unknown,none_expected,medium,CANONICAL_MUSCLE_COLLAPSE; RAW_MG_DIFFERS_FROM_TARGET,anatomical,rectus_abdominis,core,obliques
ex-0003,Air bike,waist,body weight,abs,hip flexors,hip flexors,bodyweight,core,,bodyweight,added_weight,,none,core,unknown,none_expected,medium,CANONICAL_MUSCLE_COLLAPSE; RAW_MG_DIFFERS_FROM_TARGET,anatomical,rectus_abdominis,core,hip_flexors
ex-1512,All fours squad stretch,upper legs,body weight,quads,hamstrings,hamstrings; glutes,bodyweight,quadriceps,hamstrings; glutes,bodyweight,added_weight,,none,other,unknown,none_expected,none,RAW_MG_DIFFERS_FROM_TARGET,anatomical,quadriceps,upper_legs,hamstrings; glutes
ex-0006,Alternate heel touchers,waist,body weight,abs,obliques,obliques,bodyweight,core,,bodyweight,added_weight,,none,core,unknown,none_expected,medium,CANONICAL_MUSCLE_COLLAPSE; RAW_MG_DIFFERS_FROM_TARGET,anatomical,rectus_abdominis,core,obliques
ex-0007,Alternate lateral pulldown,back,cable,lats,biceps,biceps; rhomboids,cable,back,biceps; core,cable,per_side,,none,pulldown,compound,none_expected,none,RAW_MG_DIFFERS_FROM_TARGET,anatomical,latissimus_dorsi,back,biceps_brachii; rhomboids
ex-1368,Ankle circles,lower legs,body weight,calves,ankle stabilizers,ankle stabilizers,bodyweight,calves,core,bodyweight,added_weight,,none,calf_raise,isolation,none_expected,none,RAW_MG_DIFFERS_FROM_TARGET,regional,lower_legs,lower_legs,ankle_stabilizers
ex-3293,Archer pull up,back,body weight,lats,biceps,biceps; forearms,bodyweight,back,biceps; forearms,bodyweight,added_weight,1,none,pull_up,compound,none_expected,none,RAW_MG_DIFFERS_FROM_TARGET,anatomical,latissimus_dorsi,back,biceps_brachii; forearms
ex-3294,Archer push up,chest,body weight,pectorals,triceps,triceps; shoulders; core,bodyweight,chest,triceps; core,bodyweight,added_weight,,none,bench_press,compound,none_expected,none,RAW_MG_DIFFERS_FROM_TARGET,anatomical,pectoralis_major,chest,triceps_brachii; shoulders; core
ex-2355,Arm slingers hanging bent knee legs,waist,body weight,abs,shoulders,shoulders; back,bodyweight,core,,bodyweight,added_weight,,none,core,unknown,none_expected,medium,CANONICAL_MUSCLE_COLLAPSE; RAW_MG_DIFFERS_FROM_TARGET; RAW_MG_NOT_REPRESENTED_IN_CANONICAL_MUSCLES,anatomical,rectus_abdominis,core,shoulders; back
